"","cell_type","TCGA.Z2.AA3V.06","TCGA.EE.A2GM.06","TCGA.EE.A2GK.06","TCGA.D9.A6EA.06","TCGA.EE.A2GH.06","TCGA.EB.A42Y.01","TCGA.D3.A8GK.06","TCGA.EE.A29A.06","TCGA.FS.A1ZS.06","TCGA.HR.A2OH.06","TCGA.GN.A265.06","TCGA.D3.A1Q1.06","TCGA.EE.A29L.06","TCGA.EE.A20H.06","TCGA.D3.A8GD.06","TCGA.ER.A19T.01","TCGA.BF.A3DM.01","TCGA.DA.A3F3.06","TCGA.DA.A1I2.06","TCGA.WE.A8K4.01","TCGA.D3.A1Q6.06","TCGA.FS.A4FB.06","TCGA.EE.A2ME.06","TCGA.EB.A41A.01","TCGA.D3.A3C8.06","TCGA.D3.A3ML.06","TCGA.BF.AAP2.01","TCGA.BF.AAP1.01","TCGA.EB.A4XL.01","TCGA.ER.A42H.01","TCGA.EE.A2M8.06","TCGA.FS.A1YX.06","TCGA.EE.A3J3.06","TCGA.Z2.AA3S.06","TCGA.EE.A3AF.06","TCGA.D3.A2J7.06","TCGA.EE.A2GS.06","TCGA.D3.A2JA.06","TCGA.EE.A17Z.06","TCGA.BF.AAOU.01","TCGA.EE.A3AA.06","TCGA.FS.A1ZD.06","TCGA.EE.A180.06","TCGA.EB.A3XB.01","TCGA.DA.A1I1.06","TCGA.D9.A6EC.06","TCGA.D3.A2JE.06","TCGA.EB.A5FP.01","TCGA.D3.A51T.06","TCGA.FR.A726.01","TCGA.D9.A3Z4.01","TCGA.ER.A2NC.06","TCGA.D3.A5GL.06","TCGA.GN.A4U8.11","TCGA.EE.A2MG.06","TCGA.D3.A2J8.06","TCGA.EE.A29S.06","TCGA.EE.A2GC.06","TCGA.D3.A51E.06"
"1","T cell","8758","240.1","27850","304.8","4092","100.4","3951","323.9","177.3","9511","2269","190.5","470.1","316.7","28310","89.8","115.9","846.5","280.6","3266","414.7","15.31","19250","20710","16720","12.26","2769","7641","830.7","112.9","10570","85.37","335.9","254.5","393.8","759.5","224.9","528.4","1228","1041","1453","338.7","2019","336.7","789.6","206.8","32.15","3662","2003","227.8","522.4","188.7","23.76","11560","7270","3765","479.1","3931","1564"
"2","T cell CD8+","5512","227","8508","15.25","10300","61.12","2.821","15.4","11.97","39860","1561","11.18","2.113","30.97","7946","0.7083","57.06","125.8","288","16480","59.17","2.161","31570","63.96","102400","3.42","409.8","6.16","660.9","8.364","44920","79.45","297.8","640.4","788.5","1081","259.7","470.2","3.558","95.03","1421","3.989","66.72","161.2","624.3","13.78","8.476","3.865","242.6","4.967","557.1","123.5","24.92","15820","5129","9402","731.2","4046","1672"
"3","cytotoxicity score","19710","419.9","6181","2134","21290","97.54","554.5","577.5","40.28","44480","2091","136.3","26.97","677.1","11500","218.7","11400","306.5","4830","11120","157.7","28160","22420","61.83","104500","47.67","1068","1883","4368","180.6","43770","570.5","445.7","773.4","1083","1847","583.9","1070","1419","2289","1023","15650","713.2","885.4","17380","49.6","4070","147.4","678.3","86.66","1819","453.6","546.1","15490","3369","12700","1593","5159","2248"
"4","NK cell","80.37","8.895","597.5","2.723","251.2","3.991","1.098","1.372","4.55","439.2","48.38","5.085","1.202","3.082","105.6","3.759","15.41","2.604","5.735","16.65","12.63","3.321","83.36","17.14","128.9","21.55","10.8","16.54","21.55","24.54","390.8","6.342","12.48","15.44","2.983","12.9","88.75","25.99","1.254","3.929","13.66","66.41","8.242","16.39","27.46","1.355","2.287","4.474","12.37","12.73","28.91","7.599","2.277","207.8","62.39","60.57","6.042","31.46","15.9"
"5","B cell","7163","6577","852500","92.45","13470","11.57","23.73","13340","19.37","1018","4157","8199","381.6","48.79","26940","3.458","64.24","76.12","366.9","697.6","109.8","47.85","40730","119.6","2624","119.7","754.1","1213","303.9","63.46","8940","574.8","6669","157.1","144.1","991.1","45.41","140.4","2217","5794","17670","24.08","12.94","303.9","900.8","34.7","1259","79.03","1985","363.7","6227","1100","197.1","123800","65650","3345","777.9","2618","10010"
"6","Monocyte","44960","2931","27050","1427","20530","2849","1617","1375","6224","49830","53190","1905","254.5","1169","27040","1030","4547","2879","6485","4922","32840","846.1","31640","1000","46160","351.4","7191","3938","3424","2540","74620","6739","6836","4595","10620","4327","3476","83070","408.2","5297","7625","11690","1286","4521","19570","1669","215.9","1115","3045","3008","7292","73500","1523","32710","15990","23470","6418","14330","10990"
"7","Macrophage/Monocyte","44960","2931","27050","1427","20530","2849","1617","1375","6224","49830","53190","1905","254.5","1169","27040","1030","4547","2879","6485","4922","32840","846.1","31640","1000","46160","351.4","7191","3938","3424","2540","74620","6739","6836","4595","10620","4327","3476","83070","408.2","5297","7625","11690","1286","4521","19570","1669","215.9","1115","3045","3008","7292","73500","1523","32710","15990","23470","6418","14330","10990"
"8","Myeloid dendritic cell","1043","58.73","8127","18.78","1049","39.48","3.997","101.3","292","4803","2486","21.23","5.828","75.35","1950","658.9","655.4","137.9","338.5","141.1","226.6","44.16","5042","3207","2126","22.37","359","169.1","978.6","368.3","2965","632.1","1220","601.8","242.5","350.5","2394","734.9","20.31","69.69","925.1","74.9","35.16","388.9","4377","25.44","1448","19.46","382.9","62.18","917.7","354.5","43.39","3648","3001","2404","568.1","564.3","202"
"9","Neutrophil","14820","5518","9120","13320","3429","3980","11140","13880","6081","5749","5432","2151","7743","6296","6281","12560","6038","6263","5875","6744","5621","3749","7674","4360","4420","10700","5024","4134","6593","4453","5290","6853","3713","5403","9126","5758","3461","7144","10870","11740","4665","12230","8703","6372","5715","4598","3875","7803","6217","7864","5101","7418","5651","5169","6005","4244","4514","8231","3953"
"10","Endothelial cell","44400","14110","30030","5018","5566","2654","3166","5765","32390","3529","20160","11150","2106","6006","4978","5779","3874","2910","5802","2385","3750","6620","39880","425.6","3870","6522","2525","2653","4878","13840","6202","12170","11990","3805","3164","17190","18390","9368","9110","4476","4438","6161","4851","6128","7543","1417","2384","1560","2627","3138","5969","23140","1558","3812","23440","22760","6767","2599","3338"
